동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
,안산레이크타운푸르지오,2016,"43,000",28,11,2019,59.5637,5,고잔동,18.04960606060606
,안산레이크타운푸르지오,2016,"54,500",29,11,2020,59.5637,4,고잔동,18.04960606060606
,안산레이크타운푸르지오,2016,"55,000",31,10,2020,59.5637,27,고잔동,18.04960606060606
,삼익,1998,"20,000",19,2,2021,59.59,1,신길동,18.05757575757576
105,삼익,1998,"22,000",30,5,2024,59.59,22,신길동,18.05757575757576
109,삼익,1998,"23,800",3,9,2023,59.59,19,신길동,18.05757575757576
109,삼익,1998,"24,300",31,10,2023,59.59,3,신길동,18.05757575757576
107,삼익,1998,"24,500",27,10,2023,59.59,12,신길동,18.05757575757576
,삼익,1998,"29,000",21,4,2021,59.59,15,신길동,18.05757575757576
,삼익,1998,"30,000",23,8,2021,59.59,1,신길동,18.05757575757576
,삼익,1998,"31,700",26,7,2021,59.59,9,신길동,18.05757575757576
,초지역메이저타운푸르지오에코단지,2019,"34,000",30,7,2019,59.5958,31,원곡동,18.059333333333335
,초지역메이저타운푸르지오에코단지,2019,"50,000",28,3,2020,59.5958,30,원곡동,18.059333333333335
104,초지역메이저타운푸르지오에코단지,2019,"57,300",25,8,2023,59.5958,29,원곡동,18.059333333333335
102,초지역메이저타운푸르지오에코단지,2019,"58,000",8,9,2024,59.5958,4,원곡동,18.059333333333335
101동,천년가리더스카이,2020,"35,000",23,9,2023,59.654,20,와동,18.076969696969698
,효성,1997,"16,000",23,1,2020,59.76,12,선부동,18.10909090909091
,주공그린빌14단지,2002,"20,500",23,10,2019,59.76,1,초지동,18.10909090909091
,효성,1997,"21,500",14,12,2021,59.76,5,선부동,18.10909090909091
,효성,1997,"24,500",24,11,2021,59.76,12,선부동,18.10909090909091
,주공그린빌14단지,2002,"25,000",31,8,2020,59.76,4,초지동,18.10909090909091
그린빌 1407동,주공그린빌14단지,2002,"33,800",26,5,2023,59.76,9,초지동,18.10909090909091
그린빌 1405동,주공그린빌14단지,2002,"34,000",28,2,2024,59.76,6,초지동,18.10909090909091
,주공그린빌14단지,2002,"37,600",27,5,2021,59.76,6,초지동,18.10909090909091
,안산메트로타운푸르지오힐스테이트,2018,"36,500",26,9,2020,59.8167,21,선부동,18.126272727272728
105동,안산메트로타운푸르지오힐스테이트,2018,"37,000",23,2,2023,59.8167,8,선부동,18.126272727272728
,안산메트로타운푸르지오힐스테이트,2018,"44,000",26,1,2021,59.8167,27,선부동,18.126272727272728
,안산메트로타운푸르지오힐스테이트,2018,"50,000",21,1,2022,59.8167,5,선부동,18.126272727272728
