동,아파트명,건축년도,거래 금액,거래 일,거래 월,거래 연도,전용 면적(㎡),층수,읍면동,전용면적_평수
,강남데시앙포레,2014,"113,000",31,8,2019,59.81,10,수서동,18.124242424242425
,강남데시앙포레,2014,"170,000",28,9,2021,59.81,10,수서동,18.124242424242425
,매봉삼성,1999,"114,000",28,12,2019,59.82,20,도곡동,18.12727272727273
105,대치현대,1999,"185,000",10,9,2024,59.82,13,대치동,18.12727272727273
,현대아파트101동,1999,"149,500",24,9,2020,59.83,8,삼성동,18.13030303030303
,강남엘에이치1단지,2013,"136,000",6,12,2020,59.86,13,세곡동,18.13939393939394
,강남엘에이치1단지,2013,"140,000",28,1,2021,59.86,10,세곡동,18.13939393939394
315,디에이치아너힐즈,2019,"213,000",19,8,2023,59.8732,22,개포동,18.14339393939394
303,디에이치아너힐즈,2019,"219,000",30,1,2024,59.8732,17,개포동,18.14339393939394
,디에이치아너힐즈,2019,"230,000",27,11,2021,59.8732,6,개포동,18.14339393939394
111,대치삼성,2000,"162,500",29,6,2023,59.88,2,대치동,18.145454545454548
,역삼푸르지오,2006,"220,000",31,12,2024,59.8848,9,역삼동,18.14690909090909
,래미안블레스티지,2019,"134,000",27,5,2019,59.888,6,개포동,18.14787878787879
,강남엘에이치1단지,2013,"109,500",16,5,2020,59.89,6,세곡동,18.14848484848485
101,강남엘에이치1단지,2013,"116,000",30,3,2024,59.89,6,세곡동,18.14848484848485
,강남엘에이치1단지,2013,"145,000",17,7,2021,59.89,12,세곡동,18.14848484848485
,쌍용,1996,"80,000",22,2,2019,59.91,10,논현동,18.154545454545456
,개포래미안포레스트,2020,"188,200",10,10,2020,59.92,10,개포동,18.15757575757576
129,개포래미안포레스트,2020,"191,500",27,9,2023,59.92,16,개포동,18.15757575757576
,개포래미안포레스트,2020,"195,000",26,11,2020,59.92,17,개포동,18.15757575757576
,개포래미안포레스트,2020,"195,000",16,11,2020,59.92,17,개포동,18.15757575757576
,개포래미안포레스트,2020,"210,000",13,6,2021,59.92,5,개포동,18.15757575757576
102,개포래미안포레스트,2020,"210,000",27,6,2024,59.92,16,개포동,18.15757575757576
,강남자곡 힐스테이트,2015,"101,500",13,9,2022,59.93,10,자곡동,18.16060606060606
503,강남자곡 힐스테이트,2015,"96,000",27,3,2024,59.93,9,자곡동,18.16060606060606
,e-편한세상,2005,"235,500",27,11,2024,59.947,7,역삼동,18.165757575757578
,삼성래미안,2001,"165,000",13,6,2020,59.96,15,도곡동,18.16969696969697
104,대치아이파크,2008,"200,000",5,2,2023,59.96,15,대치동,18.16969696969697
,개포래미안포레스트,2020,"235,000",14,10,2024,59.96,25,개포동,18.16969696969697
,강남자곡아이파크,2014,"71,800",15,3,2021,59.96,1,자곡동,18.16969696969697
,강남자곡아이파크,2014,"73,750",18,8,2021,59.96,5,자곡동,18.16969696969697
202,래미안블레스티지,2019,"171,000",14,1,2023,59.967,19,개포동,18.171818181818182
,래미안포레,2014,"138,000",24,12,2024,59.97,6,자곡동,18.172727272727272
,강남데시앙포레,2014,"140,000",19,7,2020,59.97,6,수서동,18.172727272727272
,강남데시앙포레,2014,"158,000",6,4,2021,59.97,9,수서동,18.172727272727272
,강남데시앙포레,2014,"159,000",6,3,2021,59.97,10,수서동,18.172727272727272
103,도곡렉슬,2006,"171,000",30,3,2023,59.9772,13,도곡동,18.174909090909093
604동,강남한신휴플러스6단지,2015,"105,000",21,4,2023,59.98,8,율현동,18.175757575757576
604동,강남한신휴플러스6단지,2015,"108,000",17,11,2023,59.98,9,율현동,18.175757575757576
,강남한신휴플러스6단지,2015,"149,000",23,4,2022,59.98,3,율현동,18.175757575757576
,개포자이프레지던스,2023,"214,000",24,4,2023,59.98,15,개포동,18.175757575757576
,래미안도곡카운티,2016,"225,000",23,2,2022,59.98,20,도곡동,18.175757575757576
,래미안도곡카운티,2016,"225,000",23,2,2022,59.98,20,도곡동,18.175757575757576
,강남엘에이치1단지,2013,"108,000",8,2,2020,59.99,10,세곡동,18.17878787878788
111,래미안 개포 루체하임,2018,"185,000",23,1,2024,59.99,9,일원동,18.17878787878788
,래미안 개포 루체하임,2018,"187,500",26,8,2023,59.99,1,일원동,18.17878787878788
,역삼자이,2016,"188,000",8,7,2020,59.9977,20,역삼동,18.181121212121212
405,삼익,1992,"132,000",3,7,2023,60,8,수서동,18.181818181818183
,삼익대청아파트,1992,"134,000",14,11,2022,60,7,개포동,18.181818181818183
,삼익대청아파트,1992,"150,000",30,6,2020,60,8,개포동,18.181818181818183
,개포주공6단지,1983,"169,000",28,12,2019,60.13,11,개포동,18.221212121212123
603,개포주공6단지,1983,"200,000",7,2,2023,60.13,13,개포동,18.221212121212123
,개포주공7단지,1983,"162,000",23,9,2019,60.76,6,개포동,18.412121212121214
,개포주공5단지,1983,"134,500",23,2,2019,61.19,7,개포동,18.542424242424243
,지석천평대,2003,"55,500",28,1,2020,63.03,4,역삼동,19.1
2,한양1차(영동한양),1977,"318,000",30,11,2023,63.87,3,압구정동,19.354545454545455
,대명비발디,2003,"70,000",23,9,2019,63.88,6,도곡동,19.35757575757576
,이산,2011,"39,000",28,2,2019,64.23,1,논현동,19.463636363636365
,네오빌,2001,"210,000",31,1,2024,64.29,1,논현동,19.481818181818184
,은하수,1992,"165,000",25,2,2022,67.14,9,역삼동,20.345454545454547
,개포6차우성아파트1동~8동,1987,"165,000",25,6,2020,67.28,2,개포동,20.38787878787879
0,SK허브프리모,2006,"89,500",22,10,2023,67.5,17,도곡동,20.454545454545457
,SK허브프리모,2006,"80,000",17,6,2022,67.57,15,도곡동,20.475757575757576
,은하수,1992,"75,000",23,5,2019,69.99,9,역삼동,21.209090909090907
502,우성사원5,1986,"184,000",8,6,2024,70.89,8,도곡동,21.481818181818184
,우성사원5,1986,"200,000",26,6,2021,70.89,8,도곡동,21.481818181818184
,래미안도곡카운티,2016,"280,000",27,11,2021,71.85,4,도곡동,21.772727272727273
,개포주공6단지,1983,"170,000",8,6,2019,73.02,5,개포동,22.12727272727273
608,개포주공6단지,1983,"238,000",14,6,2024,73.02,7,개포동,22.12727272727273
,네오빌,2001,"240,000",31,1,2024,73.08,1,논현동,22.145454545454545
,네오빌,2001,"240,000",31,1,2024,73.08,1,논현동,22.145454545454545
,네오빌,2001,"245,000",31,1,2024,73.08,2,논현동,22.145454545454545
,네오빌,2001,"245,000",31,1,2024,73.08,2,논현동,22.145454545454545
,개포주공7단지,1983,"235,000",30,1,2021,73.26,1,개포동,22.200000000000003
,삼성,1994,"140,000",25,5,2019,73.41,9,도곡동,22.245454545454546
,강남브리즈힐(토지임대부아파트),2014,"120,000",30,9,2021,74.04,2,자곡동,22.43636363636364
406,강남브리즈힐(토지임대부아파트),2014,"87,000",10,12,2023,74.04,11,자곡동,22.43636363636364
,강남브리즈힐(토지임대부아파트),2014,"89,800",16,12,2019,74.04,6,자곡동,22.43636363636364
,강남브리즈힐(토지임대부아파트),2014,"91,500",30,5,2020,74.04,3,자곡동,22.43636363636364
,개포주공5단지,1983,"158,000",27,3,2019,74.25,9,개포동,22.5
504,개포주공5단지,1983,"248,000",4,3,2024,74.25,6,개포동,22.5
,개포주공5단지,1983,"297,000",15,11,2024,74.25,7,개포동,22.5
,미성2차,1987,"199,000",30,11,2019,74.4,1,압구정동,22.545454545454547
24,미성2차,1987,"250,000",7,3,2023,74.4,1,압구정동,22.545454545454547
28,미성2차,1987,"300,000",7,8,2024,74.4,14,압구정동,22.545454545454547
,미성2차,1987,"321,000",19,4,2022,74.4,16,압구정동,22.545454545454547
,강남브리즈힐(토지임대부아파트),2014,"93,000",23,5,2020,74.44,8,자곡동,22.55757575757576
,상록수,1993,"150,000",31,7,2019,74.54,2,일원동,22.58787878787879
,상록수,1993,"181,000",24,2,2024,74.54,2,일원동,22.58787878787879
207,상록수,1993,"189,000",29,11,2023,74.54,3,일원동,22.58787878787879
104,상록수,1993,"206,500",28,9,2024,74.54,5,일원동,22.58787878787879
126,개포래미안포레스트,2020,"220,000",6,6,2023,74.66,24,개포동,22.624242424242425
126,개포래미안포레스트,2020,"228,000",30,3,2024,74.66,24,개포동,22.624242424242425
116,개포래미안포레스트,2020,"229,000",31,8,2023,74.66,16,개포동,22.624242424242425
,개포래미안포레스트,2020,"245,000",17,1,2021,74.66,7,개포동,22.624242424242425
,강남엘에이치1단지,2013,"165,000",6,4,2021,74.74,8,세곡동,22.64848484848485
,우민,2002,"123,000",19,5,2022,74.758,2,논현동,22.653939393939392
,강남자곡아이파크,2014,"155,000",29,11,2024,74.89,2,자곡동,22.693939393939395
,강남자곡아이파크,2014,"82,050",10,3,2021,74.97,1,자곡동,22.71818181818182
,가람,1993,"168,000",14,2,2020,75.16,2,일원동,22.775757575757577
,가람,1993,"172,000",4,9,2020,75.16,5,일원동,22.775757575757577
,가람,1993,"184,000",15,9,2020,75.16,4,일원동,22.775757575757577
,가람,1993,"188,000",29,12,2020,75.16,2,일원동,22.775757575757577
,가람,1993,"200,000",20,3,2021,75.16,2,일원동,22.775757575757577
,디에이치아너힐즈,2019,"220,000",22,12,2022,76.1709,24,개포동,23.082090909090912
322,디에이치아너힐즈,2019,"260,000",20,6,2023,76.1709,6,개포동,23.082090909090912
,은마,1979,"151,200",31,1,2019,76.79,4,대치동,23.269696969696973
,은마,1979,"177,000",30,4,2020,76.79,9,대치동,23.269696969696973
,은마,1979,"184,500",30,12,2022,76.79,2,대치동,23.269696969696973
,은마,1979,"204,000",29,11,2019,76.79,4,대치동,23.269696969696973
30,은마,1979,"213,300",28,4,2023,76.79,10,대치동,23.269696969696973
,은마,1979,"213,300",28,4,2023,76.79,10,대치동,23.269696969696973
,은마,1979,"215,000",24,6,2021,76.79,14,대치동,23.269696969696973
30,은마,1979,"235,000",26,2,2024,76.79,11,대치동,23.269696969696973
,은마,1979,"250,000",25,5,2022,76.79,2,대치동,23.269696969696973
11,은마,1979,"262,500",30,9,2024,76.79,4,대치동,23.269696969696973
,은마,1979,"263,500",24,11,2021,76.79,11,대치동,23.269696969696973
,은마,1979,"272,500",26,11,2024,76.79,5,대치동,23.269696969696973
,개포자이프레지던스,2023,"279,250",30,6,2023,78.33,9,개포동,23.736363636363638
,우성사원5,1986,"245,000",29,11,2021,78.99,9,도곡동,23.936363636363637
801,우성8,1987,"219,000",1,11,2024,79.61,2,개포동,24.124242424242425
,우성8,1987,"219,000",1,11,2024,79.61,2,개포동,24.124242424242425
,우성8,1987,"225,000",21,12,2024,79.61,7,개포동,24.124242424242425
,럭키(462),1986,"124,700",25,3,2019,79.89,7,도곡동,24.20909090909091
,럭키(462),1986,"177,500",1,8,2020,79.89,3,도곡동,24.20909090909091
,개포6차우성아파트1동~8동,1987,"220,000",21,4,2022,79.97,2,개포동,24.233333333333334
,역삼래미안,2005,"180,000",4,6,2019,80.87,20,역삼동,24.506060606060608
,역삼래미안,2005,"268,000",26,1,2022,80.87,8,역삼동,24.506060606060608
,은탑리더스카운티,2003,"102,000",21,10,2020,81.61,5,논현동,24.73030303030303
103,청담대림이-편한세상,2002,"190,000",18,4,2023,81.84,4,청담동,24.8
,"현대5차(71,72동)",1977,"410,000",12,4,2022,82.23,10,압구정동,24.91818181818182
71,"현대5차(71,72동)",1977,"448,000",12,8,2024,82.23,6,압구정동,24.91818181818182
,"현대5차(71,72동)",1977,"480,000",26,12,2024,82.23,13,압구정동,24.91818181818182
,현대3차(61~64동),1976,"210,000",13,6,2019,82.5,4,압구정동,25.0
,현대3차(61~64동),1976,"225,000",12,12,2019,82.5,1,압구정동,25.0
,현대3차(61~64동),1976,"385,000",29,10,2024,82.5,1,압구정동,25.0
,개포주공6단지,1983,"280,000",15,1,2022,83.21,8,개포동,25.215151515151515
,두산위브2단지,2004,"137,000",20,1,2020,83.464,9,논현동,25.292121212121213
101,매봉삼성,1999,"156,000",30,7,2024,83.49,5,도곡동,25.3
6,"쌍용대치아파트1동,2동,3동,5동,6동",1983,"258,000",20,9,2024,83.56,1,대치동,25.321212121212124
,"쌍용대치아파트1동,2동,3동,5동,6동",1983,"301,500",27,12,2024,83.56,15,대치동,25.321212121212124
,우성7,1987,"205,000",30,10,2020,83.69,5,일원동,25.360606060606063
,개포주공7단지,1983,"184,000",1,6,2019,83.7,7,개포동,25.363636363636367
,경남논현,1996,"131,000",21,6,2022,83.72,5,논현동,25.36969696969697
,스카이써밋아파트,2004,"99,500",26,12,2019,83.72,6,대치동,25.36969696969697
106,우성7,1987,"205,000",8,5,2024,84.06,1,일원동,25.472727272727276
,아크로힐스논현,2014,"158,000",16,4,2019,84.074,10,논현동,25.476969696969697
디,타워팰리스1,2002,"220,000",26,5,2023,84.15,39,도곡동,25.500000000000004
101,아크로힐스논현,2014,"201,000",31,5,2024,84.208,2,논현동,25.51757575757576
,아크로힐스논현,2014,"210,000",24,2,2022,84.208,4,논현동,25.51757575757576
,현대힐스테이트2단지,2008,"210,000",6,11,2019,84.236,1,삼성동,25.526060606060607
,현대힐스테이트2단지,2008,"235,000",30,12,2022,84.236,3,삼성동,25.526060606060607
1단지 101,삼성동힐스테이트 1단지,2008,"237,000",27,2,2023,84.236,6,삼성동,25.526060606060607
,현대힐스테이트2단지,2008,"260,000",18,8,2021,84.236,4,삼성동,25.526060606060607
,현대힐스테이트2단지,2008,"280,000",29,11,2021,84.236,18,삼성동,25.526060606060607
,역삼이안애비,2004,"80,000",3,11,2020,84.28,5,역삼동,25.539393939393943
,현대힐스테이트2단지,2008,"270,000",9,10,2021,84.349,2,삼성동,25.560303030303032
,디에이치아너힐즈,2019,"250,000",26,11,2022,84.3558,19,개포동,25.56236363636364
,디에이치아너힐즈,2019,"270,000",5,7,2020,84.36,2,개포동,25.563636363636366
,은마,1979,"189,000",25,6,2019,84.43,1,대치동,25.58484848484849
,은마,1979,"194,000",28,4,2020,84.43,9,대치동,25.58484848484849
,은마,1979,"199,000",30,7,2019,84.43,12,대치동,25.58484848484849
,은마,1979,"210,000",14,2,2020,84.43,8,대치동,25.58484848484849
,은마,1979,"210,000",20,10,2022,84.43,2,대치동,25.58484848484849
,은마,1979,"220,000",24,12,2022,84.43,10,대치동,25.58484848484849
,은마,1979,"226,000",22,11,2022,84.43,12,대치동,25.58484848484849
,은마,1979,"262,500",28,4,2022,84.43,2,대치동,25.58484848484849
,은마,1979,"262,500",28,4,2022,84.43,2,대치동,25.58484848484849
,은마,1979,"262,500",28,4,2022,84.43,2,대치동,25.58484848484849
29,은마,1979,"280,000",12,10,2023,84.43,9,대치동,25.58484848484849
804,동익,1993,"142,000",11,12,2023,84.46,14,수서동,25.593939393939394
,동익,1993,"145,500",28,11,2020,84.46,1,수서동,25.593939393939394
,동익,1993,"150,000",5,8,2023,84.46,11,수서동,25.593939393939394
,한보미도맨션1,1983,"250,000",25,9,2020,84.48,6,대치동,25.6
101,한보미도맨션1,1983,"250,000",10,3,2023,84.48,13,대치동,25.6
10,쌍용대치2,1983,"258,000",16,8,2024,84.49,7,대치동,25.6030303030303
,선경2차(8동-12동),1985,"220,000",20,5,2019,84.55,7,대치동,25.62121212121212
,선경2차(8동-12동),1985,"344,500",10,10,2024,84.55,14,대치동,25.62121212121212
,청담동삼성1차(101동),1997,"148,500",29,11,2019,84.57,17,청담동,25.627272727272725
101,청담동삼성1차(101동),1997,"172,000",27,4,2024,84.57,12,청담동,25.627272727272725
110,대치삼성,2000,"215,000",27,5,2023,84.58,9,대치동,25.630303030303033
110,대치삼성,2000,"220,000",2,6,2023,84.58,8,대치동,25.630303030303033
3,경남1,1984,"239,000",27,4,2024,84.6,10,개포동,25.636363636363637
3,경남1,1984,"240,000",30,4,2024,84.6,4,개포동,25.636363636363637
